State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Vizianagaram,2025-05-10,2025,05,0.1774530084,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2025-05-23,2025,05,13.1704773152,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2025-06-18,2025,06,1.2894087173,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-05,2025,01,0.0015886231,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-10,2025,01,0.0018781224,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-11,2025,01,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-19,2025,01,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-23,2025,01,0.030279655,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-28,2025,01,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-02-04,2025,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-02-08,2025,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-02-09,2025,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-02-10,2025,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-02-13,2025,02,9.11561e-05,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-02-14,2025,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-02-18,2025,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-02-27,2025,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-02-28,2025,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-03-02,2025,03,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-03-03,2025,03,0.0092355254,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-03-04,2025,03,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-03-05,2025,03,0.7424462008,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-03-09,2025,03,0.0006509571,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-03-19,2025,03,0.0,NRSC VIC MODEL
